fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
38,410,52.404,13.7309,33,Berlin-Kaniswall Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
37,403,52.4537,13.3017,51,Berlin-Dahlem (FU) Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
44,433,52.4676,13.402,48,Berlin-Tempelhof Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
378,4977,52.5447,11.9724,45,Tangermünde Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
40,424,52.5,13.4667,36,Berlin-Ostkreuz Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
35,399,52.5198,13.4057,36,Berlin-Alexanderplatz Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
270,3376,52.5176,14.1232,64,Müncheberg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
39,420,52.5447,13.5598,61,Berlin-Marzahn Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
42,430,52.5644,13.3088,36,Berlin-Tegel Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
43,432,52.6044,13.2952,36,Berlin-Tegeler Fliesstal Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
36,400,52.631,13.5021,60,Berlin-Buch Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
408,5463,52.0654,14.6898,58,Wellmitz Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
413,5546,52.1206,12.4586,187,Wiesenburg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
417,5629,51.8891,12.6446,105,Wittenberg Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
446,6170,52.0192,14.7254,39,Coschen Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
452,6273,52.5075,11.8551,36,Demker Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
473,7389,52.7461,13.8427,83,Heckelberg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
205,2641,51.5185,12.9065,90,Klitzschen bei Torgau Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
175,2315,51.7657,13.1666,78,Holzdorf-Bernsdorf Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
85,1001,51.6451,13.5747,97,Doberlug-Kirchhain Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
203,2627,51.5554,13.8845,128,Schipkau-Klettwitz Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
78,880,51.7759,14.3168,69,Cottbus Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
275,3426,51.566,14.7008,127,"Muskau, Bad Sachsen",Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
361,4606,51.5167,14.35,116,Schwarze Pumpe Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
382,5068,51.5833,13,80,Torgau Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
474,7393,51.4492,14.2533,116,Hoyerswerda Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
15,164,53.0316,13.9908,54,Angermünde Brandenburg,Frei,29,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
130,1552,53.2066,14.3817,13,Gartz/Oder Brandenburg,Frei,29,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
16,167,53.8409,13.6854,11,Anklam Mecklenburg-Vorpommern,Frei,37,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
24,288,53.8409,13.7549,3,Bargischow-Gnevezin Mecklenburg-Vorpommern,Frei,37,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
388,5142,53.7445,14.0698,1,Ueckermünde Mecklenburg-Vorpommern,Frei,37,105,vorpommersche Sandböden im Uecker-Randow-Gebiet 
251,3158,52.5468,14.5453,12,Manschnow Brandenburg,Frei,43,106,Oderbruch 
228,2931,51.392,12.3962,128,Leipzig-Mockau Sachsen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
227,2928,51.3151,12.4462,138,Leipzig-Holzhausen Sachsen,Frei,44,107,Lößböden in der Ackerebene (Ost) 
