fid,id,lat,lon,height,name,state,fid_2,BKR_Nummer,BKR_Name
240,1052,52.2174,12.1641,80,Möckern-Drewitz Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
211,948,51.8512,12.2515,60,Dessau Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
117,524,51.6333,12.3167,80,Bitterfeld Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
553,2641,51.5185,12.9065,90,Klitzschen bei Torgau Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
511,2451,51.7954,12.9583,77,Jessen/Elster Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
595,2856,51.9173,13.0878,92,Langenlipsdorf Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
516,2475,51.9999,13.101,75,Jüterbog Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
482,2315,51.7657,13.1666,78,Holzdorf-Bernsdorf Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
508,2436,52.0547,13.2344,55,Jänickendorf,Brandenburg,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
391,1818,52.3667,13.3167,40,Großbeeren Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
227,1002,51.5179,13.4436,94,Dobra Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
66,303,52.0613,13.4997,55,Baruth Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
226,1001,51.6451,13.5747,97,Doberlug-Kirchhain Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
813,3915,51.9887,13.3633,142,Petkus Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
826,3987,52.3812,13.0622,81,Potsdam Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
827,3988,52.3822,13.0622,81,Potsdam (Säkularstation) Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
928,4496,51.6826,12.7348,95,"Schmiedeberg, Bad Sachsen-Anhalt",Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1025,5068,51.5833,13,80,Torgau Sachsen,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1116,5546,52.1206,12.4586,187,Wiesenburg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1128,5629,51.8891,12.6446,105,Wittenberg Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1153,5761,51.9642,12.0996,69,Zerbst Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1235,6265,52.3613,12.3867,36,Wusterwitz Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
1270,7364,51.6818,12.3053,74,Jeßnitz Sachsen-Anhalt,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
146,650,52.4136,12.5503,35,Brandenburg-Görden Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
102,427,52.3807,13.5306,46,Berlin Brandenburg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
549,2621,52.4045,13.2134,42,Kleinmachnow Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
96,416,52.4069,13.4127,47,Berlin-Lichtenrade Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
101,425,52.4044,13.4838,38,Berlin-Rudow Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
97,417,52.4144,13.3036,43,Berlin-Lichterfelde (Süd) Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
95,410,52.404,13.7309,33,Berlin-Kaniswall Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
87,395,52.4167,13.4833,38,Berlin-Adlershof Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
108,435,52.4289,13.2327,45,Berlin-Zehlendorf Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
91,403,52.4537,13.3017,51,Berlin-Dahlem (FU) Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
90,402,52.4564,13.2997,55,Berlin-Dahlem (LFAG) Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
107,434,52.4553,13.4699,35,Berlin-Treptow Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
92,405,52.45,13.65,37,Berlin-Friedrichshagen Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
106,433,52.4676,13.402,48,Berlin-Tempelhof Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
100,424,52.5,13.4667,36,Berlin-Ostkreuz Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
88,399,52.5198,13.4057,36,Berlin-Alexanderplatz Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
99,422,52.5333,13.3833,35,Berlin-Mitte Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
94,408,52.5333,13.3833,35,Berlin-Invalidenstraße Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
714,3376,52.5176,14.1232,64,Müncheberg Brandenburg,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
98,420,52.5447,13.5598,61,Berlin-Marzahn Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
103,429,52.5667,13.1694,32,Berlin-Spandau Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
104,430,52.5644,13.3088,36,Berlin-Tegel Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
105,432,52.6044,13.2952,36,Berlin-Tegeler Fliesstal Berlin,Frei,28,104,trocken-warme diluviale Böden des ostdeutschen Tieflandes 
