fid,id,lat,lon,height,name,state,fid_2,id_2,lat_2,lon_2,height_2,name_2,state_2,id_3,OBJID,BEGINN,GF,NUTS_LEVEL,NUTS_CODE,NUTS_NAME
84,19856,47.6134,12.9819,625,Schönau am Königssee Bayern,Frei,1375,19856,47.6134,12.9819,625,Schönau am Königssee Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
85,5032,49.885,9.8469,197,Thüngersheim Bayern,Frei,1016,5032,49.885,9.8469,197,Thüngersheim Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
86,5703,49.7964,9.8949,170,Würzburg/Main Bayern,Frei,1142,5703,49.7964,9.8949,170,Würzburg/Main Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
87,5705,49.7704,9.9576,268,Würzburg Bayern,Frei,1143,5705,49.7704,9.9576,268,Würzburg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
88,4287,49.3849,10.1732,415,Rothenburg ob der Tauber Bayern,Frei,871,4287,49.3849,10.1732,415,Rothenburg ob der Tauber Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
89,5654,49.2178,10.2296,464,Wörnitz-Bottenweiler Bayern,Frei,1133,5654,49.2178,10.2296,464,Wörnitz-Bottenweiler Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
90,1107,49.852,10.4991,346,Ebrach Bayern,Frei,255,1107,49.852,10.4991,346,Ebrach Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
91,3621,48.8253,10.5067,435,Reimlingen Bayern,Frei,758,3621,48.8253,10.5067,435,Reimlingen Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
92,3565,49.5728,10.6001,315,Neustadt/Aisch Bayern,Frei,746,3565,49.5728,10.6001,315,Neustadt/Aisch Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
93,3181,49.4875,10.6277,360,Markt Erlbach-Hagenhofen Bayern,Frei,671,3181,49.4875,10.6277,360,Markt Erlbach-Hagenhofen Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
94,2023,48.7918,10.7062,501,Harburg Bayern,Frei,428,2023,48.7918,10.7062,501,Harburg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
95,2488,48.7701,10.7876,516,Kaisheim-Neuhof Bayern,Frei,523,2488,48.7701,10.7876,516,Kaisheim-Neuhof Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
96,283,49.8808,10.8695,382,Bamberg-Altenburg Bayern,Frei,61,283,49.8808,10.8695,382,Bamberg-Altenburg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
97,282,49.8743,10.9206,240,Bamberg Bayern,Frei,60,282,49.8743,10.9206,240,Bamberg Bayern,Frei,2,DEBKGNU2000000D7,2025/01/16 00:00:00,4,1,DE2,Bayern
