id,lat,lon,height,name,state
01001,51.6451,13.5747,97.0,Doberlug-Kirchhain Brandenburg,Frei
01018,47.9422,8.5046,677.0,Donaueschingen Baden-Württemberg,Frei
01048,51.1278,13.7543,228.0,Dresden-Klotzsche Sachsen,Frei
01050,51.0221,13.847,112.0,Dresden-Hosterwitz Sachsen,Frei
01052,52.2174,12.1641,80.0,Möckern-Drewitz Sachsen-Anhalt,Frei
01072,49.4719,8.1929,107.0,"Dürkheim, Bad Rheinland-Pfalz",Frei
01078,51.296,6.7686,37.0,Düsseldorf Nordrhein-Westfalen,Frei
01107,49.852,10.4991,346.0,Ebrach Bayern,Frei
01130,54.6282,9.3649,18.0,Eggebek Schleswig-Holstein,Frei
01161,48.8778,11.2349,385.0,Eichstätt-Landershofen Bayern,Frei
01172,51.8189,9.8871,123.0,Einbeck Niedersachsen,Frei
01182,51.5029,11.5705,146.0,Eisleben-Helfta Sachsen-Anhalt,Frei
01197,48.9895,10.1312,463.0,Ellwangen-Rindelbach Baden-Württemberg,Frei
01200,54.0691,9.0105,3.0,Elpersbüttel Schleswig-Holstein,Frei
01219,53.3449,7.1909,5.0,Emden-Nesserland Niedersachsen,Frei
01238,50.9884,7.425,144.0,Engelskirchen Nordrhein-Westfalen,Frei
01246,51.8418,8.0607,104.0,Ennigerloh-Ostenfelde Nordrhein-Westfalen,Frei
01262,48.3477,11.8134,446.0,München-Flughafen Bayern,Frei
01266,54.2992,9.3162,18.0,Erfde Schleswig-Holstein,Frei
01270,50.9827,10.9613,317.0,Erfurt-Weimar Thüringen,Frei
01292,49.7522,11.8222,470.0,Eschenbach/Oberpfalz Bayern,Frei
01297,51.2041,10.0138,156.0,Eschwege Hessen,Frei
01299,53.6476,7.6085,3.0,Esens Niedersachsen,Frei
01303,51.4041,6.9677,150.0,Essen-Bredeney Nordrhein-Westfalen,Frei
01329,54.134,10.5865,50.0,Eutin Schleswig-Holstein,Frei
01339,52.9157,10.1885,74.0,Faßberg Niedersachsen,Frei
01346,47.8748,8.0038,1486.0,Feldberg/Schwarzwald Baden-Württemberg,Frei
01358,50.4283,12.9536,1213.0,Fichtelberg Sachsen,Frei
01378,54.8086,9.4182,45.0,Flensburg Schleswig-Holstein,Frei
01379,54.7737,9.3753,41.0,Flensburg (Schäferhaus) Schleswig-Holstein,Frei
01420,50.0259,8.5213,100.0,Frankfurt/Main Hessen,Frei
01421,50.1474,8.6746,125.0,Frankfurt/Main (Stadt) Hessen,Frei
01425,50.1214,8.6604,103.0,Frankfurt/Main (Feldbergstr.) Hessen,Frei
01426,52.3397,14.508,67.0,Frankfurt/Oder Brandenburg,Frei
01443,48.0232,7.8343,237.0,Freiburg Baden-Württemberg,Frei
01451,53.8277,9.2493,2.0,Freiburg/Elbe Niedersachsen,Frei
01468,48.4538,8.409,797.0,Freudenstadt Baden-Württemberg,Frei
