"Year","named_location","group","State","lat","lon","n_site_yr","spread_flower_site_yr","pseudoR2_gau","badfit_gau","beta0_gau","beta1_gau","beta2_gau","AIC_gau","R2_lm","beta0_lm","beta1_lm","beta1_lm_sig","AIC_lm","preferred_mod","mod_for_cens","higher_R2","AIC_delta","n_predictors","site_yr","decade","subset"
1988,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,23,17,0.0045,"FALSE",-5.78282652,0.11623966,-0.000263,288.9812,0.0015,7.2326,-8e-04,0.8587,287.0497,"linear","gauss","gaussian",1.93150000000003,2,"1988_Cheyenne_HPAL","2","all_exactloc"
1989,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,23,11,0.1637,"FALSE",-55.57653631,0.54364384,-0.00116717,313.6103,0.1547,4.508,0.014,0.0665,311.8562,"linear","gauss","gaussian",1.75409999999999,2,"1989_Cheyenne_HPAL","2","all_exactloc"
1990,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,34,10,0.091,"FALSE",-757.87158174,6.70982061,-0.0147227,474.6867,0.0336,12.862,-0.0276,0.3284,474.7659,"gaussian","gauss","gaussian",-0.0792000000000144,2,"1990_Cheyenne_HPAL","3","all_exactloc"
1991,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,31,9,0.0221,"FALSE",-111.06533705,1.03028831,-0.00224962,405.0384,0.0188,9.6188,-0.0118,0.4656,403.1456,"linear","gauss","gaussian",1.89280000000002,2,"1991_Cheyenne_HPAL","3","all_exactloc"
1992,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,25,11,0.1498,"TRUE",286.36134917,-2.36051279,0.00498996,343.5422,0.06,10.5278,-0.0139,0.2285,344.0519,"gaussian","exclude","gaussian",-0.509700000000009,2,"1992_Cheyenne_HPAL","3","all_exactloc"
1993,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,54,10,0.0034,"FALSE",-39.52344452,0.39984164,-0.00085146,769.9023,0.0026,6.5619,0.0036,0.7157,767.945,"linear","gauss","gaussian",1.95729999999992,2,"1993_Cheyenne_HPAL","3","all_exactloc"
1994,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,54,7,0.0458,"TRUE",1544.56247336,-13.44710701,0.02939445,839.6968,0.0246,-9.012,0.0686,0.2207,838.8875,"linear","exclude","gaussian",0.809300000000007,2,"1994_Cheyenne_HPAL","3","all_exactloc"
1995,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,41,9,0.2463,"TRUE",622.8189115,-5.00644897,0.01017417,547.3598,0.1821,17.8146,-0.0443,0.0052,548.7131,"gaussian","linear","gaussian",-1.3533000000001,2,"1995_Cheyenne_HPAL","3","all_exactloc"
1996,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,62,12,0.026,"FALSE",-133.13100544,1.2121426,-0.00261027,897.634,0.0131,5.683,0.0082,0.3803,896.4508,"linear","gauss","gaussian",1.18320000000006,2,"1996_Cheyenne_HPAL","3","all_exactloc"
1997,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,59,11,0.025,"TRUE",93.7331099,-0.7481225,0.0016077,790.6621,0.0235,10.3416,-0.0158,0.244,788.7567,"linear","exclude","gaussian",1.90539999999999,2,"1997_Cheyenne_HPAL","3","all_exactloc"
1998,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,36,10,0.1108,"TRUE",24.71612123,-0.14613582,0.00030333,443.8286,0.1103,9.5774,-0.0106,0.0456,441.8488,"linear","linear","gaussian",1.97980000000001,2,"1998_Cheyenne_HPAL","3","all_exactloc"
1999,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,35,5,0.036,"FALSE",-323.95717979,2.93594595,-0.00650052,478.001,0.0282,10.784,-0.0144,0.3354,476.2862,"linear","gauss","gaussian",1.71479999999997,2,"1999_Cheyenne_HPAL","3","all_exactloc"
2000,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,24,13,0.1492,"FALSE",-178.21149954,1.69067985,-0.00386774,301.1307,0.1022,10.6511,-0.0188,0.137,300.4203,"linear","gauss","gaussian",0.710399999999993,2,"2000_Cheyenne_HPAL","4","all_exactloc"
2001,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,62,9,0.0155,"TRUE",171.94910282,-1.42058164,0.00307089,859.9602,5e-04,7.9269,-0.0011,0.8679,858.8989,"linear","exclude","gaussian",1.06129999999996,2,"2001_Cheyenne_HPAL","4","all_exactloc"
2002,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,55,11,0.1297,"FALSE",-35.93560641,0.34672257,-0.0006915,767.4399,0.1292,-0.3432,0.0329,0.0074,765.4703,"linear","gauss","gaussian",1.96960000000001,2,"2002_Cheyenne_HPAL","4","all_exactloc"
2006,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,26,6,0.027,"FALSE",-303.30408797,2.82580699,-0.00641703,350.7435,0.0012,8.2408,-0.0021,0.8686,349.4245,"linear","gauss","gaussian",1.31899999999996,2,"2006_Cheyenne_HPAL","4","all_exactloc"
2007,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,21,9,0.1381,"FALSE",-227.24180114,2.12418858,-0.00481736,264.0734,0.0968,2.287,0.0211,0.1795,263.0562,"linear","gauss","gaussian",1.0172,2,"2007_Cheyenne_HPAL","4","all_exactloc"
2008,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,28,7,0.5721,"FALSE",-812.05582293,7.12257964,-0.01547948,344.8827,0.3848,-1.1337,0.0364,5e-04,353.0486,"gaussian","gauss","gaussian",-8.16590000000002,2,"2008_Cheyenne_HPAL","4","all_exactloc"
2009,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,22,8,0.0125,"FALSE",-115.1128559,1.08217276,-0.0023835,299.0972,1e-04,7.5739,6e-04,0.9575,297.3701,"linear","gauss","gaussian",1.72710000000001,2,"2009_Cheyenne_HPAL","4","all_exactloc"
2010,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,19,6,0.4753,"TRUE",749.21026765,-6.62675712,0.01480215,248.8824,0.3734,17.8365,-0.0461,0.0056,250.2535,"gaussian","linear","gaussian",-1.37110000000001,2,"2010_Cheyenne_HPAL","5","all_exactloc"
2015,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,5,8,0.8193,"TRUE",218.5885966,-1.87246646,0.00413855,53.465,0.7164,2.5239,0.0189,0.0728,53.72,"gaussian","exclude","gaussian",-0.254999999999995,2,"2015_Cheyenne_HPAL","5","all_exactloc"
2016,"Cheyenne_HPAL","Cheyenne_HPAL","NE",41.1388,-103.0018,15,12,0.2807,"FALSE",-340.07305037,3.13075299,-0.0070643,201.2286,0.1913,12.8701,-0.0276,0.1144,200.9865,"linear","gauss","gaussian",0.242099999999994,2,"2016_Cheyenne_HPAL","5","all_exactloc"
1987,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,36,9,0.0052,"TRUE",57.42833693,-0.43865886,0.00096735,508.7118,0.0035,8.4576,-0.0033,0.7315,506.7737,"linear","exclude","gaussian",1.93809999999996,2,"1987_Colby_NREC","2","all_exactloc"
1988,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,34,9,0.1075,"FALSE",-145.44286238,1.34961486,-0.00297192,443.8433,0.0567,5.9587,0.008,0.178,443.7229,"linear","gauss","gaussian",0.120400000000018,2,"1988_Colby_NREC","2","all_exactloc"
1989,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,34,8,0.1477,"FALSE",-303.26783789,2.54623686,-0.0052151,424.1074,0.0695,4.9422,0.0105,0.1321,425.0894,"gaussian","gauss","gaussian",-0.982000000000028,2,"1989_Colby_NREC","2","all_exactloc"
1991,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,45,10,0.128,"FALSE",-54.33862819,0.59439259,-0.00142623,605.0668,0.1206,11.2823,-0.0175,0.0212,603.4489,"linear","gauss","gaussian",1.61789999999996,2,"1991_Colby_NREC","3","all_exactloc"
1992,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,54,11,0.0043,"FALSE",-2.96221924,0.09712072,-0.00021671,731.6109,0.0039,8.3829,-0.0021,0.6562,729.6373,"linear","gauss","gaussian",1.97360000000003,2,"1992_Colby_NREC","3","all_exactloc"
1993,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,55,11,0.1082,"TRUE",140.14231407,-1.22605704,0.00283679,782.4569,0.0852,4.0019,0.0169,0.0281,781.8549,"linear","linear","gaussian",0.601999999999975,2,"1993_Colby_NREC","3","all_exactloc"
1994,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,49,12,0.0263,"TRUE",32.80053967,-0.23970698,0.000576,681.012,0.0243,6.3712,0.0071,0.2808,679.1109,"linear","exclude","gaussian",1.90109999999993,2,"1994_Colby_NREC","3","all_exactloc"
1995,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,50,8,0.0185,"TRUE",309.4610895,-2.71527211,0.00610111,726.0124,0.0061,5.0461,0.0104,0.583,724.6358,"linear","exclude","gaussian",1.37659999999994,2,"1995_Colby_NREC","3","all_exactloc"
1996,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,61,10,0.2114,"FALSE",-157.43059064,1.49356027,-0.00337928,837.0954,0.1946,0.9589,0.0303,4e-04,836.3817,"linear","gauss","gaussian",0.713700000000017,2,"1996_Colby_NREC","3","all_exactloc"
1998,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,40,8,7e-04,"FALSE",-10.84831375,0.16872035,-0.0003781,584.471,6e-04,7.5652,0.0018,0.8803,582.4751,"linear","gauss","gaussian",1.99590000000001,2,"1998_Colby_NREC","3","all_exactloc"
2003,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,24,7,0.1874,"FALSE",-157.81812521,1.53354435,-0.00359839,256.8519,0.1848,16.3886,-0.05,0.0323,254.9283,"linear","gauss","gaussian",1.92359999999999,2,"2003_Colby_NREC","4","all_exactloc"
2005,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,33,7,0.0476,"FALSE",-153.01529236,1.43709093,-0.00321713,445.1811,0.0421,4.1177,0.0151,0.254,443.3719,"linear","gauss","gaussian",1.80920000000003,2,"2005_Colby_NREC","4","all_exactloc"
2006,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,35,5,0.1286,"FALSE",-1770.75443673,16.47407878,-0.03815883,463.7899,0.0032,5.836,0.0066,0.7503,466.4941,"gaussian","gauss","gaussian",-2.70420000000001,2,"2006_Colby_NREC","4","all_exactloc"
2007,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,39,7,0.2225,"TRUE",1230.7693746,-11.38896698,0.02648931,516.5525,0.1582,-8.8602,0.072,0.0098,517.6525,"gaussian","linear","gaussian",-1.10000000000002,2,"2007_Colby_NREC","4","all_exactloc"
2009,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,31,5,1e-04,"TRUE",46.59146549,-0.34319495,0.0007588,444.5678,0,7.805,-1e-04,0.9965,442.571,"linear","exclude","gaussian",1.99679999999995,2,"2009_Colby_NREC","4","all_exactloc"
1999,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,41,7,0.153,"FALSE",-865.80448207,7.5977877,-0.01651743,574.529,0.0167,5.9168,0.0085,0.4305,578.6482,"gaussian","gauss","gaussian",-4.11919999999998,2,"1999_Colby_NREC","3","all_exactloc"
2000,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,36,6,0.1547,"FALSE",-75.76009762,0.80510565,-0.00193901,499.9732,0.1545,24.2896,-0.0758,0.0175,497.9835,"linear","gauss","gaussian",1.98970000000003,2,"2000_Colby_NREC","4","all_exactloc"
2001,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,31,6,0.3795,"FALSE",-1093.71094215,10.19677364,-0.02360679,415.3002,0.2949,-4.8454,0.0566,0.0021,417.2623,"gaussian","gauss","gaussian",-1.96209999999996,2,"2001_Colby_NREC","4","all_exactloc"
2002,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,29,8,0.2777,"FALSE",-559.18175433,5.06275441,-0.01131227,403.8289,0.2492,-8.4709,0.0707,0.007,402.9526,"linear","gauss","gaussian",0.876299999999958,2,"2002_Colby_NREC","4","all_exactloc"
2004,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,20,9,0.045,"FALSE",-189.00372134,1.70819752,-0.00371543,263.465,0.0021,6.8377,0.0021,0.8493,262.3439,"linear","gauss","gaussian",1.12109999999996,2,"2004_Colby_NREC","4","all_exactloc"
2008,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,49,9,0.0752,"FALSE",-301.0109309,2.78249638,-0.0062621,705.8868,0.0139,6.56,0.0068,0.4294,707.0348,"gaussian","gauss","gaussian",-1.14800000000002,2,"2008_Colby_NREC","4","all_exactloc"
2010,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,31,20,0.0613,"FALSE",-34.68412436,0.40600724,-0.00096726,446.6493,0.0181,8.8208,-0.0044,0.4715,446.0425,"linear","gauss","gaussian",0.606799999999964,2,"2010_Colby_NREC","5","all_exactloc"
2012,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,28,6,0.0194,"FALSE",-527.20602867,4.79993496,-0.01077805,405.1331,0.0095,11.3626,-0.0187,0.6283,403.4143,"linear","gauss","gaussian",1.71879999999999,2,"2012_Colby_NREC","5","all_exactloc"
2013,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,33,6,0.2472,"FALSE",-3831.75217411,34.74303383,-0.07863598,392.0967,0.0419,15.5953,-0.045,0.2839,398.054,"gaussian","gauss","gaussian",-5.95729999999998,2,"2013_Colby_NREC","5","all_exactloc"
2014,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,14,6,0.1489,"FALSE",-1622.24868796,14.40874763,-0.03185329,200.0675,0.0277,2.2054,0.0217,0.5859,199.9304,"linear","gauss","gaussian",0.137100000000004,2,"2014_Colby_NREC","5","all_exactloc"
2015,"Colby_NREC","Colby_NREC","KS",39.3933,-101.0636,12,6,0.4876,"TRUE",1862.57219541,-17.00424633,0.03895371,170.567,0.3821,-20.1133,0.1236,0.0266,170.8152,"gaussian","linear","gaussian",-0.248199999999997,2,"2015_Colby_NREC","5","all_exactloc"
1996,"Conde_1","Conde_1","SD",45.1572,-98.0976,78,11,0.0395,"FALSE",-305.24351777,2.85050609,-0.00649269,1123.8994,0.0023,6.6534,0.0043,0.6824,1124.8614,"gaussian","gauss","gaussian",-0.961999999999989,2,"1996_Conde_1","3","all_exactloc"
2011,"Corpus_Christi_2","Corpus_Christi_2","TX",27.7635,-97.4033,11,16,0.4082,"FALSE",-31.67440187,0.59198783,-0.00223977,149.6594,0.2553,9.1878,-0.0134,0.1169,150.1876,"gaussian","gauss","gaussian",-0.528199999999998,2,"2011_Corpus_Christi_2","5","all_exactloc"
1978,"Crookston_1","Crookston_1","MN",47.774,-96.6081,47,10,0.0396,"TRUE",51.02616926,-0.41454751,0.00099452,663.1646,0.0375,9.9605,-0.0103,0.1903,661.268,"linear","exclude","gaussian",1.89659999999992,2,"1978_Crookston_1","1","all_exactloc"
2000,"Frankfort_1","Frankfort_1","SD",44.8766,-98.3054,67,8,0.1264,"FALSE",-443.8513616,4.28600589,-0.01017319,965.6012,0.0953,1.1813,0.0303,0.0128,965.9446,"gaussian","gauss","gaussian",-0.343400000000088,2,"2000_Frankfort_1","4","all_exactloc"
2014,"Galchutt_1","Galchutt_1","ND",46.3875,-96.8095,35,10,0.0322,"FALSE",-81.84256158,0.82680056,-0.00190048,511.8257,0.0205,6.5065,0.0072,0.4141,510.2444,"linear","gauss","gaussian",1.5813,2,"2014_Galchutt_1","5","all_exactloc"
2015,"Galchutt_1","Galchutt_1","ND",46.3875,-96.8095,41,12,0.0994,"FALSE",-193.05478454,1.90568727,-0.00451577,612.785,0.0551,4.6487,0.0159,0.1527,612.756,"linear","gauss","gaussian",0.0289999999999964,2,"2015_Galchutt_1","5","all_exactloc"
2016,"Galchutt_1","Galchutt_1","ND",46.3875,-96.8095,33,14,0.3201,"FALSE",-85.4302156,0.85482596,-0.0019495,503.3803,0.3063,0.4748,0.0363,0.0014,502.0444,"linear","gauss","gaussian",1.33589999999998,2,"2016_Galchutt_1","5","all_exactloc"
2018,"Glyndon_USDA","Glyndon_USDA","MN",46.9774,-96.6341,55,25,0.3527,"FALSE",-139.68476248,1.41248162,-0.00338198,804.7464,0.1797,3.605,0.02,0.0046,815.7728,"gaussian","gauss","gaussian",-11.0264,2,"2018_Glyndon_USDA","5","all_exactloc"
2003,"Goodland_NorthernSun","Goodland_NorthernSun","KS",39.342,-101.821,22,6,0.3197,"FALSE",-1447.60410874,13.19939199,-0.02996331,248.8404,0.1559,-3.399,0.0426,0.0805,251.5871,"gaussian","gauss","gaussian",-2.7467,2,"2003_Goodland_NorthernSun","4","all_exactloc"
2005,"Goodland_NorthernSun","Goodland_NorthernSun","KS",39.342,-101.821,15,8,0.0318,"FALSE",-263.44579586,2.44131212,-0.00550089,213.3019,0.0111,9.1785,-0.008,0.7106,211.6194,"linear","gauss","gaussian",1.68249999999998,2,"2005_Goodland_NorthernSun","4","all_exactloc"
2001,"Goodland_NorthernSun","Goodland_NorthernSun","KS",39.342,-101.821,28,6,0.0334,"FALSE",-313.02776006,2.94150802,-0.00675845,378.235,0.0253,10.8017,-0.0173,0.4221,376.4691,"linear","gauss","gaussian",1.76589999999999,2,"2001_Goodland_NorthernSun","4","all_exactloc"
2016,"Grant_4","Grant_4","NE",40.842,-101.7251,13,10,0.029,"FALSE",-4.63305401,0.09102921,-0.00018171,168.828,0.029,4.4259,0.0099,0.5798,166.8288,"linear","gauss","linear",1.9992,2,"2016_Grant_4","5","all_exactloc"
2017,"Grant_5","Grant_5","NE",40.842,-101.7251,20,6,0.0382,"FALSE",-175.23687602,1.60649257,-0.00355069,233.026,0.0314,9.013,-0.0112,0.4548,231.1669,"linear","gauss","gaussian",1.85910000000001,2,"2017_Grant_5","5","all_exactloc"
1996,"Greeley_Val_Reiss","Greeley_Val_Reiss","KS",38.8667,-101.9643,36,11,0.0236,"FALSE",-55.80261481,0.56897304,-0.00129208,468.1608,0.0211,4.4563,0.0109,0.3986,466.2527,"linear","gauss","gaussian",1.90809999999999,2,"1996_Greeley_Val_Reiss","3","all_exactloc"
2004,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,22,6,0.0754,"FALSE",-107.85624896,0.95725701,-0.00198595,313.0943,0.0749,1.9864,0.0231,0.2228,311.1048,"linear","gauss","gaussian",1.98949999999996,2,"2004_Hays_ARC","4","all_exactloc"
2009,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,33,7,0.0305,"FALSE",-361.97798047,3.33055851,-0.00750294,504.6313,0.0226,13.059,-0.0244,0.41,502.9008,"linear","gauss","gaussian",1.73050000000001,2,"2009_Hays_ARC","4","all_exactloc"
2010,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,20,6,0.0652,"FALSE",-1890.06303502,17.03365984,-0.03824312,268.2006,0.0091,2.8928,0.0165,0.6997,267.3665,"linear","gauss","gaussian",0.834100000000035,2,"2010_Hays_ARC","5","all_exactloc"
2013,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,23,9,0.0842,"FALSE",-509.78447251,4.34915986,-0.00916807,298.6769,0.0756,19.122,-0.0551,0.2308,296.8924,"linear","gauss","gaussian",1.78449999999998,2,"2013_Hays_ARC","5","all_exactloc"
2017,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,21,8,0.1599,"FALSE",-1715.79681868,14.96612653,-0.03250023,314.3007,0.0535,-2.6436,0.0422,0.3424,314.8064,"gaussian","gauss","gaussian",-0.50569999999999,2,"2017_Hays_ARC","5","all_exactloc"
1987,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,38,10,0.1495,"TRUE",62.77006464,-0.48285944,0.00104834,531.8758,0.1483,-0.1031,0.0306,0.0137,529.9301,"linear","linear","gaussian",1.94569999999999,2,"1987_Hays_ARC","2","all_exactloc"
1988,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,29,10,0.1481,"TRUE",111.32281527,-0.89299086,0.00191157,422.5039,0.1454,-2.9354,0.0418,0.0318,420.5958,"linear","linear","gaussian",1.90809999999999,2,"1988_Hays_ARC","2","all_exactloc"
1992,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,39,10,0.0135,"FALSE",-42.08396433,0.42054616,-0.00088933,548.523,0.0118,5.8946,0.0074,0.5075,546.5873,"linear","gauss","gaussian",1.9357,2,"1992_Hays_ARC","3","all_exactloc"
1993,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,42,8,0.1273,"TRUE",729.91993213,-6.17226123,0.01318451,600.0412,0.0026,6.4885,0.0047,0.7399,603.6539,"gaussian","exclude","gaussian",-3.61270000000002,2,"1993_Hays_ARC","3","all_exactloc"
1994,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,39,7,0.1833,"TRUE",515.70827108,-4.34478153,0.00928081,531.2284,0.1611,-2.5276,0.0415,0.0105,530.2765,"linear","linear","gaussian",0.95189999999991,2,"1994_Hays_ARC","3","all_exactloc"
1995,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,41,10,0.1675,"TRUE",125.96694112,-1.04564233,0.00229224,536.0343,0.1629,-1.7786,0.0367,0.0077,534.26,"linear","linear","gaussian",1.77430000000004,2,"1995_Hays_ARC","3","all_exactloc"
1996,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,40,7,0.3047,"TRUE",254.54519989,-2.16907291,0.00476401,591.5758,0.2999,-6.3887,0.0609,3e-04,589.8492,"linear","linear","gaussian",1.72659999999996,2,"1996_Hays_ARC","3","all_exactloc"
2005,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,18,8,0.0352,"TRUE",167.53996547,-1.36614581,0.00290762,234.272,0.0254,9.5986,-0.0108,0.5248,232.454,"linear","exclude","gaussian",1.81799999999998,2,"2005_Hays_ARC","4","all_exactloc"
2007,"Hays_ARC","Hays_ARC","KS",38.8584,-99.3342,25,5,0.1468,"FALSE",-3034.25738613,28.0724979,-0.06479415,315.2415,0.0108,1.8762,0.0204,0.64,316.9396,"gaussian","gauss","gaussian",-1.69810000000001,2,"2007_Hays_ARC","4","all_exactloc"
2001,"Hazelton_2","Hazelton_2","ND",46.4847,-100.2796,49,10,0.0195,"FALSE",-14.87795936,0.19631075,-0.00042857,684.5754,0.0191,5.9542,0.0073,0.3437,682.5973,"linear","gauss","gaussian",1.97809999999993,2,"2001_Hazelton_2","4","all_exactloc"
2000,"Hesston_HVEF","Hesston_HVEF","KS",38.1324,-97.4417,8,7,0.0232,"FALSE",-38.40087054,0.435894,-0.00103625,109.5372,0.0209,6.0674,0.0065,0.7347,107.5563,"linear","gauss","gaussian",1.98090000000001,2,"2000_Hesston_HVEF","4","all_exactloc"
2001,"Hesston_HVEF","Hesston_HVEF","KS",38.1324,-97.4417,12,7,0.4331,"TRUE",592.55327389,-6.20846449,0.01645795,151.5653,0.0741,4.4911,0.014,0.3751,155.4535,"gaussian","exclude","gaussian",-3.88819999999998,2,"2001_Hesston_HVEF","4","all_exactloc"
2004,"Hesston_HVEF","Hesston_HVEF","KS",38.1324,-97.4417,7,5,0.3355,"FALSE",-1574.87213388,13.48793964,-0.0287396,109.508,0.2971,-14.3741,0.094,0.2303,107.9003,"linear","gauss","gaussian",1.60769999999999,2,"2004_Hesston_HVEF","4","all_exactloc"
2003,"Hesston_HVEF","Hesston_HVEF","KS",38.1324,-97.4417,7,5,0.4919,"TRUE",1458.27203769,-13.22886499,0.03014104,96.588,0.4398,-12.5821,0.0881,0.1088,95.2714,"linear","exclude","gaussian",1.31659999999999,2,"2003_Hesston_HVEF","4","all_exactloc"
2005,"Hesston_HVEF","Hesston_HVEF","KS",38.1324,-97.4417,9,5,0.2661,"FALSE",-846.47639678,7.55977873,-0.01672872,132.4346,0.2355,-5.6662,0.0588,0.1999,130.8025,"linear","gauss","gaussian",1.63209999999998,2,"2005_Hesston_HVEF","4","all_exactloc"
2006,"Hesston_HVEF","Hesston_HVEF","KS",38.1324,-97.4417,10,6,0.1593,"TRUE",1348.13465758,-11.63432229,0.02524026,148.3635,0.0115,5.0039,0.0109,0.761,147.983,"linear","exclude","gaussian",0.380499999999984,2,"2006_Hesston_HVEF","4","all_exactloc"
2002,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,38,7,0.0339,"FALSE",-104.18456943,1.04081256,-0.00242217,540.3673,0.0305,4.7086,0.0136,0.298,538.4999,"linear","gauss","gaussian",1.86739999999998,2,"2002_Hettinger_REC","4","all_exactloc"
2003,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,45,9,0.0877,"FALSE",-327.27041907,3.10892469,-0.00721209,653.296,0.0124,6.3474,0.0064,0.4737,654.8647,"gaussian","gauss","gaussian",-1.56869999999992,2,"2003_Hettinger_REC","4","all_exactloc"
2005,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,66,11,0.0822,"FALSE",-307.142464,2.96897856,-0.0070296,848.0805,0.056,0.1803,0.0292,0.0602,847.9393,"linear","gauss","gaussian",0.141200000000026,2,"2005_Hettinger_REC","4","all_exactloc"
2009,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,41,10,0.0608,"FALSE",-507.87590176,4.51446573,-0.00988309,617.8101,0.006,5.8341,0.0078,0.642,618.1336,"gaussian","gauss","gaussian",-0.323499999999967,2,"2009_Hettinger_REC","4","all_exactloc"
2011,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,48,13,0.0096,"TRUE",50.98384913,-0.37477352,0.00080556,676.5426,0.0076,8.7952,-0.0061,0.5551,674.639,"linear","exclude","gaussian",1.90359999999998,2,"2011_Hettinger_REC","5","all_exactloc"
2013,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,33,8,0.1262,"FALSE",-351.42523862,3.34588052,-0.00779599,487.3379,0.101,0.809,0.0315,0.0783,486.2772,"linear","gauss","gaussian",1.0607,2,"2013_Hettinger_REC","5","all_exactloc"
2014,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,34,12,0.1228,"FALSE",-88.91987585,0.84551727,-0.00185629,491.9949,0.1202,-2.2372,0.0432,0.0473,490.095,"linear","gauss","gaussian",1.89989999999995,2,"2014_Hettinger_REC","5","all_exactloc"
2015,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,46,11,0.3717,"FALSE",-144.15032469,1.18596523,-0.002305,710.1954,0.3693,-8.7973,0.0688,0,708.3718,"linear","gauss","gaussian",1.82359999999994,2,"2015_Hettinger_REC","5","all_exactloc"
2016,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,33,11,0.3044,"FALSE",-204.22587712,1.97668395,-0.00460531,474.849,0.267,0.0745,0.0366,0.0036,474.5778,"linear","gauss","gaussian",0.271199999999965,2,"2016_Hettinger_REC","5","all_exactloc"
2017,"Hettinger_REC","Hettinger_REC","ND",46.0033,-102.6444,40,19,0.2622,"FALSE",-144.14539023,1.34927111,-0.00299945,562.2958,0.1457,3.7273,0.0172,0.0214,566.1576,"gaussian","gauss","gaussian",-3.86180000000002,2,"2017_Hettinger_REC","5","all_exactloc"
