"","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","county_state"
"1","Akron_CPER","Akron","CO",40.1526,-103.1357,"1996",163,282,230,235,233.039827683578,NA,NA,NA,NA,1603.72028658365,TRUE,0,"in_range",NA,NA,NA,NA,404.2081,404.2781,"exclude",-0.0162,NA,NA,"unclear","interval",NA,"Washington_CO"
"2","Akron_CPER","Akron","CO",40.1526,-103.1357,"1997",167,284,228,234,231.368124093065,6.4369307758389,16.4985174261572,223.118865379986,25395.3874592096,1573.93238135836,FALSE,49.3971677162808,"in_range",229.26351047693,234.503238599668,230.756364919706,232.078189344795,415.865,416.153,"gauss",0.0038,230.756364919706,232.078189344795,"opt_within","interval",231.368124093065,"Washington_CO"
"3","Bardwell_Beakley","Ellis","TX",32.269,-96.6961,"2010",91,221,164,168,166.473278600861,NA,NA,NA,NA,1339.5981782856,TRUE,0,"in_range",NA,NA,NA,NA,177.7468,179.7754,"exclude",-0.0674,NA,NA,"unclear","interval",NA,"Ellis_TX"
"4","Bardwell_Beakley","Ellis","TX",32.269,-96.6961,"2011",70,199,145,158,144.392920426405,16.0909914855807,41.2428706590216,123.771485096894,84489.3173164405,2094.7348676423,FALSE,125.857331504247,"less_than",97.1013165650555,149.307901433471,136.558849991781,148.022637240468,133.5603,136.3804,"gauss",-0.0268,110,148.022637240468,"opt_before","interval",144.392920426405,"Ellis_TX"
"5","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1987",191,309,244,252,215.215604498615,NA,NA,NA,NA,1135.90977030652,TRUE,0,"less_than",246.589645730831,314.131925173569,248.643734813554,257.955360166621,420.2487,418.2582,"linear",0.0196,252,274,"opt_after","interval",NA,"Republic_KS"
"6","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1988",190,299,232,248,172.1274748599,NA,NA,NA,NA,130.477191599118,TRUE,0,"less_than",248.010276962462,691.180151296436,252.134004160356,313.893560487096,339.5157,337.5787,"linear",0.0673,248,264,"opt_after","interval",NA,"Republic_KS"
"7","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1989",191,305,242,250,234.991907371758,NA,NA,NA,NA,1299.00047312298,TRUE,0,"less_than",246.940863638196,346.320794141445,248.013116965218,261.658131282578,435.3346,433.3993,"linear",0.0384,250,270,"opt_after","interval",NA,"Republic_KS"
"8","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1991",178,290,228,237,231.709542496112,NA,NA,NA,NA,527.187280839994,TRUE,0,"in_range",NA,NA,NA,NA,150.3534,150.1454,"exclude",0.0356,NA,NA,"unclear","interval",NA,"Republic_KS"
"9","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1995",164,281,218,224,221.18807302679,7.71356419494635,19.7706605399246,211.302742756827,37023.5267984477,1914.84115983027,FALSE,59.9771752183222,"in_range",216.061415772407,228.998628574232,220.0722603753,222.470987141251,258.4799,258.2241,"gauss",0.0032,220.0722603753,222.470987141251,"opt_within","interval",221.18807302679,"Republic_KS"
"10","Belleville_NCKEF","RPDO","KS",39.832,-97.8432,"1996",162,278,217,225,220.870157335446,6.09192972889251,15.6142441624998,213.063035254196,34619.9939482837,2267.15998835446,FALSE,47.8944500173336,"in_range",220.028966927338,222.12487429628,220.462770425486,221.355735429829,556.9971,561.4232,"gauss",0.0072,220.462770425486,221.355735429829,"opt_within","interval",220.870157335446,"Republic_KS"
